CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
-,-,-,-,14000,-1.98,19.5,1.3,29.5
4599.25,96.4,0,0,15000,-4.68,19.68,3.5,80
-,-,-,-,16000,-7.39,17.95,7.8,124
-,-,-,-,17000,-10.88,15.67,14.6,171
2587,76,15.31,80.82,18000,-17.47,14.06,23.9,275
2550,70.6,20.44,71.11,18500,-,-,-,-
2000,64.8,17,68.08,19000,-28.25,12.85,35.1,470
1500,52.9,17.77,56.25,20000,-43.33,11.16,47,745
950,41.3,16.31,43.89,21000,-,-,-,-
