CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
920.85,83.8,0,0,18900,-16.09,12.89,16.1,95
832.15,82.6,0,0,18950,-16.62,12.52,17.3,96
1038,81.3,12.86,81.5,19000,-18.73,12.99,18.6,116
1034.7,79.9,14.35,77.83,19050,-19.56,12.72,20,120
1000,78.5,14.46,76.37,19100,-20.79,12.64,21.4,128.95
978.85,77.1,15.04,74.29,19150,-22.36,12.73,22.8,142.75
871,75.6,12.38,76.75,19200,-23.31,12.41,24.3,146.95
881.65,74,14.12,72.72,19250,-24.46,12.18,25.9,153.5
800,72.4,12.47,73.49,19300,-26.24,12.29,27.5,170.1
808.65,70.8,13.99,69.92,19350,-26.8,11.59,29.1,164.65
722.7,69.1,12.22,70.54,19400,-29.39,12.17,30.8,196.2
730,67.4,13.58,67.25,19450,-30.45,11.66,32.5,197
645,65.6,11.87,67.45,19500,-32.7,12,34.3,224
708.8,63.9,14.91,62.98,19550,-34.62,12.08,36,244.3
580.5,62.1,11.84,63.75,19600,-36.26,11.85,37.8,255.6
629.5,60.2,14.29,60.22,19650,-37.84,11.45,39.7,262.35
515.8,58.4,11.7,59.99,19700,-39.95,11.61,41.5,287.9
513.3,56.5,12.48,57.64,19750,-41.95,11.63,43.4,310
455.4,54.6,11.57,56.06,19800,-43.9,11.47,45.3,327
431,52.8,11.63,54.02,19850,-45.93,11.36,47.1,346.8
398.1,50.9,11.41,52,19900,-48,11.28,49,368.6
409,49,12.46,50.11,19950,-50.11,11.17,50.9,390.45
342.85,47.1,11.2,47.8,20000,-52.26,11.03,52.8,412
367.55,45.3,12.6,46.42,20050,-55.19,9.73,54.6,396.25
295,43.4,11.08,43.56,20100,-56.66,10.79,56.5,460.45
282.5,41.6,11.32,41.71,20150,-59.18,10.38,58.3,476.75
254.3,39.8,11.05,39.42,20200,-61.19,10.51,60.1,511.9
260.65,38,11.81,38.32,20250,-63.73,10.2,61.9,533.95
212,36.3,10.84,35.14,20300,-65.49,10.42,63.6,574
250.05,34.6,12.58,35.64,20350,-68.01,10.14,65.3,599.5
177.15,32.9,10.73,31.07,20400,-70.2,10.05,67,632.05
-,-,-,-,20450,-76.54,8.25,68.7,619.3
149.1,29.6,10.71,27.36,20500,-73.8,10.16,70.3,708.65
-,-,-,-,20550,0,0,71.8,584.5
122.4,26.6,10.62,23.71,20600,-,-,-,-
179.15,25.1,13.14,27.04,20650,-65.44,19.19,74.8,1085.15
100.55,23.7,10.57,20.43,20700,-,-,-,-
96.95,22.3,10.81,19.51,20750,-,-,-,-
83.55,21,10.61,17.6,20800,-,-,-,-
70.2,18.5,10.7,15.21,20900,-,-,-,-
