CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
8200,97.8,51.28,82.49,14000,-3.56,19.05,2.1,72
6850,95.1,40.33,81.49,15000,-5.54,17.75,4.8,111.5
4995,90.7,21.97,86.17,16000,-7.85,15.92,9.2,150
4110,84.2,20.09,81.96,17000,-12.06,14.71,15.7,232
3370,75.8,19.7,75.31,18000,-18.76,13.88,24.1,380
3080,71.1,20.13,71.25,18500,-,-,-,-
2670,66.1,18.9,67.86,19000,-27.73,12.91,33.8,589.65
2030.25,55.8,17.95,59.39,20000,-39.5,12.03,44.1,900
1445,45.6,16.71,49.82,21000,-54.21,10.39,54.3,1260
967,36.1,15.62,39.44,22000,-73.38,8.36,63.8,1750
655,27.7,15.28,30.12,23000,-91.92,6.51,72.2,2490
380,20.7,14.33,20.72,24000,-,-,-,-
