CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
5000,99.5,0,0,15000,-4.71,22.42,0.4,77.7
-,-,-,-,16000,-3.63,15.96,1.9,40
-,-,-,-,17000,-8.77,15.7,6.5,111
-,-,-,-,18000,-15.41,13.85,16,194.2
1869.2,69.2,19.47,66.56,19000,-27.16,12.12,30.7,352
1115,51.6,16.24,53.99,20000,-46.19,9.81,48.3,603
581.95,34.4,14.37,37.64,21000,-81.35,5.88,65.5,1007.7
-,-,-,-,22000,0,0,79.3,1080.05
-,-,-,-,24000,0,0,94.5,3900
